,Artist,Title,Days,T10,Pk,x,PkStreams,Total
7268,Chris Rea,Driving Home for Christmas,5,73,6122,,23840,
7269,楊培安,不求,6,77,6351,,23840,
7270,Leehom Wang,花田錯,3,118,9251,,23813,
7271,Childish Gambino,Feels Like Summer,8,135,3478,,23802,
7272,Stefanie Sun,克卜勒,12,102,3035,,23801,
7273,Jocelyn 9.4.0,Woody,2,186,12143,,23801,
7274,Khalil Fong,特別的人,5,40,9462,,23799,
7275,Amazing Show,哥哥呀哥哥,4,136,6357,,23797,
7276,Rae Xie,新屋,6,95,4338,,23759,
7277,Kanye West,Jail,3,90,10084,,23753,
7278,A,Mei Chang,11,106,3179,,23738,
7279,Josh Gad,When I Am Older,4,152,6538,,23726,
7280,Maggie Chiang,家珍,5,79,6880,,23711,
7281,張簡君偉,綠眼淚,8,77,4664,,23700,
7282,Ed Sheeran,Magical,2,122,13185,,23694,
7283,A,Lin,8,122,3742,,23690,
7284,Grady Guan,沐夏之戀,6,73,7322,,23687,
7285,Elizabeth Banks,Universal Fanfare,17,97,1849,,23640,
7286,mike.,Closer,20,88,1407,,23632,
7287,Jessie Ware,Meet Me In The Middle,16,24,4000,,23614,
7288,John Lennon,Imagine,7,51,4194,,23585,
7289,Enno Cheng,妖怪人間 (戲劇[妖怪人間]片尾曲),4,169,6136,,23575,
7290,SZA,Snooze,2,180,12213,,23562,
7291,Charli xcx,After the Afterparty,9,115,3747,,23560,
7292,Quavo,PASS OUT,6,102,4453,,23552,
7293,Lu Han,時間停了,5,87,5325,,23550,
7294,CLC,No,6,113,6000,,23548,
7295,Della,一樣的月光,5,65,7538,,23539,
7296,Kid Rock,First Kiss,17,56,2698,,23531,
7297,范安婷,用紙牌蓋房子,8,55,4196,,23502,
7298,瘦子E.SO,Big Girl,3,123,8927,,23492,
7299,GJ,结果,3,165,7858,,23469,
7300,RM,everythingoes,5,77,7221,,23456,
7301,Agust D,HUH?!,2,99,14133,,23433,
7302,Gordon,Skit 4 Life,2,106,12587,,23409,
7303,RM,uhgood,5,76,7224,,23400,
7304,Lady Gaga,Diamond Heart,9,63,5398,,23391,
7305,TRASH,Ready To Go,7,74,5768,,23386,
7306,NAYEON,NO PROBLEM,3,115,9024,,23381,
7307,Girls' Generation,You Think,10,55,4092,,23377,
7308,張三李四,拆,8,66,4487,,23369,
7309,MAMAMOO,Chuck,3,119,9084,,23360,
7310,OneRepublic,Truth To Power,6,44,9072,,23360,
7311,Coldplay,Violet Hill,5,66,6484,,23359,
7312,黃立行,你身邊,7,119,5639,,23350,
7313,The Beatles,I Want To Hold Your Hand,9,72,4431,,23325,
7314,Nan Quan Mama,瓦解,8,83,3945,,23319,
7315,RM,badbye,5,78,7217,,23315,
7316,RM,All Day,2,97,13412,,23314,
7317,The Barden Bellas,Back To Basics,15,81,2147,,23310,
7318,Lorde,Homemade Dynamite,8,163,3365,,23280,
7319,Matzka,I'm Sorry,5,66,7013,,23250,
7320,Theophilus London,Can't Stop,20,95,1404,,23226,
7321,The Cranberries,Linger,3,47,13045,,23213,
7322,林宇中,路過的新娘,10,102,3055,,23212,
7323,David Bowie,Life On Mars?,6,29,7506,,23179,
7324,MKTO,Bad Girls,14,85,2269,,23141,
7325,于子育,孤味,3,124,8370,,23114,
7326,XYLØ,Pretty Sad,4,83,8507,,23103,
7327,Eminem,Killshot,8,150,3100,,23095,
7328,SEUNGRI,"1, 2, 3!",8,157,3160,,23091,
7329,Gordon,Steak and Lobster,2,111,12437,,23089,
7330,HUSH,今天你如此不同,12,131,2363,,23084,
7331,The xx,Say Something Loving,7,67,5277,,23069,
7332,Nicky Jam,X,8,166,3200,,23032,
7333,Eason Chan,你的背包,8,92,4828,,23023,
7334,J. Cole,Deja Vu,9,108,2926,,23017,
7335,2 Chainz,Rule The World,5,107,5796,,23016,
7336,Eason Chan,社交恐懼癌,2,174,11713,,23016,
7337,Grady Guan,某個偶然再相見,3,170,7677,,23015,
7338,TWICE,First Time,3,83,10325,,23010,
7339,Ariana Grande,in my head,5,117,4894,,23005,
7340,AJ Chang,下雨天,9,91,3763,,22999,
7341,lovelytheband,broken,8,153,3273,,22963,
7342,Céline Dion,How Does A Moment Last Forever,9,139,2854,,22938,
7343,Yoyo Sham,愛情小說 (電視劇《流淌的美好時光》片尾曲),4,105,7572,,22929,
7344,TAEMIN,Guilty,2,177,11649,,22925,
7345,R3HAB,Radio Silence,6,57,6947,,22924,
7346,陳嫺靜,輕輕 (Original),3,92,9798,,22897,
7347,TAEYEON,LOL,3,114,8978,,22892,
7348,RM,Lonely,2,103,12870,,22871,
7349,Pentatonix,Hallelujah,3,170,9453,,22848,
7350,Aska Yang,《越過山丘》——— 致李宗盛先生,6,71,6665,,22828,
7351,Mayday,倉頡,7,100,4278,,22799,
7352,John Mayer,Moving On and Getting Over,7,44,7333,,22790,
7353,Julia Wu,Need You Now,7,133,3666,,22783,
7354,Ali Gatie,Do You Believe,3,152,8164,,22783,
7355,R3HAB,The Wave,7,64,6419,,22776,
7356,Cheer Chen,距離,6,79,4382,,22773,
7357,Da Zhuang,我還是沒改變,4,117,6967,,22767,
7358,Pentatonix,New Rules x Are You That Somebody?,5,64,7085,,22767,
7359,Phoebe,在愛情裡,8,110,3492,,22764,
7360,HYOLYN,SEE SEA,8,172,3022,,22732,
7361,Flux,傑森史塔森,10,83,3266,,22719,
7362,Agust D,D,2,106,13617,,22711,
7363,JJ Lin,江南,6,156,4842,,22701,
7364,Miu Chu,我還在原地哭,4,109,6166,,22693,
7365,Agust D,Life Goes On,2,105,13643,,22687,
7366,林夏薇,很想討厭你,12,85,2879,,22672,
7367,Roy Kim,Remember Me,10,100,2813,,22665,
7368,G.E.M.,盲點,9,68,3475,,22647,
7369,Tanya Chua,那些小事情,2,58,13972,,22646,
7370,Cigarettes After Sex,Apocalypse,8,138,3539,,22621,
7371,Tanya Chua,達爾文,6,124,4532,,22608,
7372,TAEYEON,I'm OK,6,64,5091,,22602,
7373,TAEYEON,Sweet Love,6,67,5003,,22594,
7374,Sandy Lam,纖維,3,57,10924,,22567,
7375,Gryffin,Feel Good,9,176,2971,,22559,
7376,SUPER JUNIOR,D&E,7,97,4760,,22557,
7377,Halsey,Hold Me Down,12,114,2384,,22551,
7378,The 1975,Medicine,12,28,3094,,22547,
7379,MXM,DIAMOND GIRL,5,71,7529,,22525,
7380,楊培安,"愛入膏肓 (電視劇 ""一見不鍾情"" 插曲)",11,78,3025,,22516,
7381,Marian Hill,Got It,19,93,1415,,22506,
7382,Eminem,Not Alike,7,129,3559,,22505,
7383,Amazing Show,物語,2,103,11348,,22493,
7384,Jesse McCartney,Superbad,16,56,1867,,22490,
7385,Skylar Grey,I Will Return,16,72,2022,,22481,
7386,Tanya Chua,旧情歌,2,61,13594,,22473,
7387,Bii,38,8,117,3207,,22466,
7388,Gordon,Like You,2,117,11897,,22446,
7389,Dr. Beauty,你是我的Bae feat. 李千娜,2,183,11612,,22414,
7390,XXXTENTACION,Fuck Love,6,112,5189,,22408,
7391,BSS,LUNCH,2,111,11712,,22380,
7392,脫拉庫,你的電話,6,87,5553,,22348,
7393,Eric Chou,在你耳邊說,15,26,2867,,22346,
7394,Imagine Dragons,Gold,18,35,3310,,22342,
7395,G.E.M.,錯過不錯,7,102,4426,,22299,
7396,GFRIEND,Time for the moon night,7,121,4239,,22294,
7397,许亚童,哭到天亮,6,73,5054,,22284,
7398,Katy Perry,Electric,4,188,5721,,22280,
7399,Rihanna,Stay,13,90,3414,,22278,
7400,RM,Closer,2,106,12603,,22273,
7401,Gym Class Heroes,Stereo Hearts,9,57,3661,,22266,
7402,落日飛車 Sunset Rollercoaster,Candlelight,2,121,13162,,22256,
7403,Christina Perri,merry christmas darling,8,51,5360,,22243,
7404,蔡妍,角度,9,82,4117,,22217,
7405,杜小喬,泡泡裡的空氣,5,118,5098,,22208,
7406,EXO,Ko Ko Bop,4,58,6728,,22202,
7407,HauYun Lo,浪,6,99,4618,,22194,
7408,TAEYEON,Make Me Love You,7,108,3674,,22186,
7409,Mayday,瘋狂世界,6,55,7215,,22174,
7410,Dillon Francis,Change Your Mind,4,95,7466,,22174,
